From	Entry	Reviewed	Entry Name	Protein names	Gene Names	GeneID	Ensembl	Gene Ontology (molecular function)	Gene Ontology (biological process)	Gene Ontology (cellular component)
P02403	P61927	reviewed	RL37_HUMAN	Large ribosomal subunit protein eL37 (60S ribosomal protein L37) (G1.16)	RPL37	6167;	ENST00000274242.10;	MDM2/MDM4 family protein binding [GO:0097371]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]	cytoplasmic translation [GO:0002181]; positive regulation of signal transduction by p53 class mediator [GO:1901798]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]
P02403	P61928	reviewed	RL37_RAT	Large ribosomal subunit protein eL37 (60S ribosomal protein L37)	Rpl37	81770;	ENSRNOT00000045156.6;ENSRNOT00000046519.5;ENSRNOT00055010319;ENSRNOT00055042508;ENSRNOT00060024216;ENSRNOT00060042747;ENSRNOT00065036943;ENSRNOT00065051839;ENSRNOT00065052662;	growth factor binding [GO:0019838]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]	translation [GO:0006412]	cytosolic large ribosomal subunit [GO:0022625]
Q9UGP9	P61964	reviewed	WDR5_HUMAN	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WDR5 BIG3	11091;	ENST00000358625.4;	histone binding [GO:0042393]; histone H3K4 methyltransferase activity [GO:0042800]; methylated histone binding [GO:0035064]	gluconeogenesis [GO:0006094]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gluconeogenesis [GO:0045722]; regulation of cell cycle [GO:0051726]; regulation of cell division [GO:0051302]; regulation of DNA-templated transcription [GO:0006355]; regulation of embryonic development [GO:0045995]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of tubulin deacetylation [GO:0090043]; skeletal system development [GO:0001501]; transcription initiation-coupled chromatin remodeling [GO:0045815]	ATAC complex [GO:0140672]; histone acetyltransferase complex [GO:0000123]; histone methyltransferase complex [GO:0035097]; mitotic spindle [GO:0072686]; MLL1 complex [GO:0071339]; MLL1/2 complex [GO:0044665]; MLL3/4 complex [GO:0044666]; NSL complex [GO:0044545]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]
Q9UGP9	P61965	reviewed	WDR5_MOUSE	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein) (WD repeat-containing protein BIG-3)	Wdr5 Big Big3	140858;	ENSMUST00000113952.10;	histone binding [GO:0042393]; histone H3K4 methyltransferase activity [GO:0042800]; methylated histone binding [GO:0035064]	gluconeogenesis [GO:0006094]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neuron projection development [GO:0031175]; positive regulation of DNA-templated transcription [GO:0045893]; positive regulation of gluconeogenesis [GO:0045722]; regulation of cell cycle [GO:0051726]; regulation of cell division [GO:0051302]; regulation of DNA-templated transcription [GO:0006355]; regulation of embryonic development [GO:0045995]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of tubulin deacetylation [GO:0090043]; skeletal system development [GO:0001501]; transcription initiation-coupled chromatin remodeling [GO:0045815]	ATAC complex [GO:0140672]; histone acetyltransferase complex [GO:0000123]; histone methyltransferase complex [GO:0035097]; mitotic spindle [GO:0072686]; MLL1 complex [GO:0071339]; MLL3/4 complex [GO:0044666]; NSL complex [GO:0044545]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; Set1C/COMPASS complex [GO:0048188]
Q07244	P61978	reviewed	HNRPK_HUMAN	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)	HNRNPK HNRPK	3190;	ENST00000351839.7 [P61978-1];ENST00000360384.9 [P61978-1];ENST00000376263.8 [P61978-2];ENST00000376281.8 [P61978-2];ENST00000457156.6 [P61978-3];ENST00000704004.1 [P61978-3];ENST00000704005.1 [P61978-2];ENST00000704006.1 [P61978-1];ENST00000704011.1 [P61978-2];ENST00000704051.1 [P61978-1];ENST00000704052.1 [P61978-1];ENST00000704053.1 [P61978-1];ENST00000704057.1 [P61978-2];ENST00000704058.1 [P61978-1];ENST00000704059.1 [P61978-2];	cadherin binding [GO:0045296]; DNA binding [GO:0003677]; identical protein binding [GO:0042802]; mRNA binding [GO:0003729]; protein domain specific binding [GO:0019904]; RNA binding [GO:0003723]	mRNA splicing, via spliceosome [GO:0000398]; negative regulation of apoptotic process [GO:0043066]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; positive regulation of low-density lipoprotein receptor activity [GO:1905599]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902165]; regulation of low-density lipoprotein particle clearance [GO:0010988]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA processing [GO:0006396]; signal transduction [GO:0007165]	catalytic step 2 spliceosome [GO:0071013]; cell projection [GO:0042995]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; podosome [GO:0002102]; ribonucleoprotein complex [GO:1990904]
Q07244	P61979	reviewed	HNRPK_MOUSE	Heterogeneous nuclear ribonucleoprotein K (hnRNP K)	Hnrnpk Hnrpk	15387;	ENSMUST00000043269.14 [P61979-1];ENSMUST00000116403.9 [P61979-2];ENSMUST00000176207.8 [P61979-3];ENSMUST00000224182.2 [P61979-2];ENSMUST00000225674.2 [P61979-2];	actinin binding [GO:0042805]; ATPase binding [GO:0051117]; C-rich single-stranded DNA binding [GO:1990829]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; double-stranded DNA binding [GO:0003690]; heat shock protein binding [GO:0031072]; identical protein binding [GO:0042802]; lamin binding [GO:0005521]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; mRNA CDS binding [GO:1990715]; pre-mRNA 3'-splice site binding [GO:0030628]; protein domain specific binding [GO:0019904]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]	cellular response to forskolin [GO:1904322]; cellular response to insulin stimulus [GO:0032869]; cerebral cortex development [GO:0021987]; modulation of chemical synaptic transmission [GO:0050804]; mRNA processing [GO:0006397]; negative regulation of apoptotic process [GO:0043066]; negative regulation of branching morphogenesis of a nerve [GO:2000173]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of transcription by RNA polymerase II [GO:0000122]; ovarian follicle development [GO:0001541]; positive regulation of dendrite extension [GO:1903861]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of myelination [GO:0031643]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of RNA splicing [GO:0033120]; positive regulation of synapse maturation [GO:0090129]; positive regulation of synaptic transmission [GO:0050806]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902165]; regulation of low-density lipoprotein particle clearance [GO:0010988]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of postsynapse organization [GO:0099175]; regulation of transcription by RNA polymerase II [GO:0006357]; RNA splicing [GO:0008380]	anchoring junction [GO:0070161]; axon terminus [GO:0043679]; catalytic step 2 spliceosome [GO:0071013]; cell cortex [GO:0005938]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; podosome [GO:0002102]; postsynapse [GO:0098794]; protein-DNA complex [GO:0032993]; ribonucleoprotein complex [GO:1990904]
Q07244	P61980	reviewed	HNRPK_RAT	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (dC stretch-binding protein) (CSBP)	Hnrnpk Hnrpk	117282;		actinin binding [GO:0042805]; ATPase binding [GO:0051117]; C-rich single-stranded DNA binding [GO:1990829]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; double-stranded DNA binding [GO:0003690]; heat shock protein binding [GO:0031072]; identical protein binding [GO:0042802]; lamin binding [GO:0005521]; mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; mRNA CDS binding [GO:1990715]; pre-mRNA 3'-splice site binding [GO:0030628]; protein domain specific binding [GO:0019904]; ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]; single-stranded DNA binding [GO:0003697]	acute-phase response [GO:0006953]; camera-type eye development [GO:0043010]; cellular response to amino acid stimulus [GO:0071230]; cellular response to forskolin [GO:1904322]; cellular response to glucose stimulus [GO:0071333]; cellular response to insulin stimulus [GO:0032869]; cellular response to lead ion [GO:0071284]; cellular response to rapamycin [GO:0072752]; cerebellum development [GO:0021549]; cerebral cortex development [GO:0021987]; hippocampus development [GO:0021766]; kidney development [GO:0001822]; liver development [GO:0001889]; lung development [GO:0030324]; male gonad development [GO:0008584]; modulation of chemical synaptic transmission [GO:0050804]; mRNA processing [GO:0006397]; negative regulation of apoptotic process [GO:0043066]; negative regulation of branching morphogenesis of a nerve [GO:2000173]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of gene expression [GO:0010629]; negative regulation of mRNA splicing, via spliceosome [GO:0048025]; negative regulation of transcription by RNA polymerase II [GO:0000122]; ovarian follicle development [GO:0001541]; peripheral nervous system development [GO:0007422]; positive regulation of dendrite extension [GO:1903861]; positive regulation of dendritic spine development [GO:0060999]; positive regulation of long-term synaptic potentiation [GO:1900273]; positive regulation of myelination [GO:0031643]; positive regulation of neuron projection development [GO:0010976]; positive regulation of protein localization to cell surface [GO:2000010]; positive regulation of receptor-mediated endocytosis [GO:0048260]; positive regulation of RNA splicing [GO:0033120]; positive regulation of synapse maturation [GO:0090129]; positive regulation of synaptic transmission [GO:0050806]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator [GO:1902165]; regulation of low-density lipoprotein particle clearance [GO:0010988]; regulation of mRNA splicing, via spliceosome [GO:0048024]; regulation of postsynapse organization [GO:0099175]; regulation of transcription by RNA polymerase II [GO:0006357]; response to activity [GO:0014823]; response to salt [GO:1902074]; RNA splicing [GO:0008380]; thymus development [GO:0048538]	anchoring junction [GO:0070161]; axon terminus [GO:0043679]; catalytic step 2 spliceosome [GO:0071013]; cell cortex [GO:0005938]; chromatin [GO:0000785]; cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; podosome [GO:0002102]; postsynapse [GO:0098794]; protein-DNA complex [GO:0032993]; ribonucleoprotein complex [GO:1990904]
P23821	P62081	reviewed	RS7_HUMAN	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	RPS7	6201;	ENST00000403564.5;ENST00000406376.1;ENST00000462576.5;ENST00000645674.2;ENST00000646909.1;	mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]	cytoplasmic translation [GO:0002181]; negative regulation of ubiquitin protein ligase activity [GO:1904667]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; neural crest cell differentiation [GO:0014033]; neural tube closure [GO:0001843]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; protein stabilization [GO:0050821]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]; synapse [GO:0045202]
P23821	P62082	reviewed	RS7_MOUSE	Small ribosomal subunit protein eS7 (40S ribosomal protein S7)	Rps7	20115;	ENSMUST00000074267.5;ENSMUST00000221871.2;	mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; poly(U) RNA binding [GO:0008266]; protein kinase binding [GO:0019901]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]	cytoplasmic translation [GO:0002181]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; neural crest cell differentiation [GO:0014033]; neural tube closure [GO:0001843]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; protein stabilization [GO:0050821]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]	centrosome [GO:0005813]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; nucleolus [GO:0005730]; postsynapse [GO:0098794]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; small-subunit processome [GO:0032040]; synapse [GO:0045202]
P23821	P62083	reviewed	RS7_RAT	Small ribosomal subunit protein eS7 (40S ribosomal protein S7) (S8)	Rps7	29258;	ENSRNOT00055009206;ENSRNOT00055028729;ENSRNOT00060014890;ENSRNOT00065017004;ENSRNOT00065018787;	mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; poly(U) RNA binding [GO:0008266]; protein kinase binding [GO:0019901]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]	negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; neural crest cell differentiation [GO:0014033]; neural tube closure [GO:0001843]; positive regulation of gene expression [GO:0010628]; positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator [GO:1902255]; protein stabilization [GO:0050821]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]	centrosome [GO:0005813]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; small-subunit processome [GO:0032040]; synapse [GO:0045202]
P08129	P62136	reviewed	PP1A_HUMAN	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	5499;	ENST00000312989.11 [P62136-2];ENST00000358239.8 [P62136-3];ENST00000376745.9 [P62136-1];	cadherin binding involved in cell-cell adhesion [GO:0098641]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]; protein phosphatase 1 binding [GO:0008157]; protein serine/threonine phosphatase activity [GO:0004722]; ribonucleoprotein complex binding [GO:0043021]	branching morphogenesis of an epithelial tube [GO:0048754]; cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; dephosphorylation [GO:0016311]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; lung development [GO:0030324]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; protein dephosphorylation [GO:0006470]; regulation of canonical Wnt signaling pathway [GO:0060828]; regulation of circadian rhythm [GO:0042752]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of glycogen catabolic process [GO:0005981]; regulation of translational initiation [GO:0006446]; response to lead ion [GO:0010288]; telomere maintenance in response to DNA damage [GO:0043247]	adherens junction [GO:0005912]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; extracellular exosome [GO:0070062]; glutamatergic synapse [GO:0098978]; glycogen granule [GO:0042587]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; presynapse [GO:0098793]; PTW/PP1 phosphatase complex [GO:0072357]
P08129	P62137	reviewed	PP1A_MOUSE	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	Ppp1ca Ppp1a	19045;	ENSMUST00000046094.6;	cadherin binding involved in cell-cell adhesion [GO:0098641]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]; protein phosphatase 1 binding [GO:0008157]; protein serine/threonine phosphatase activity [GO:0004722]; protein-containing complex binding [GO:0044877]; ribonucleoprotein complex binding [GO:0043021]	branching morphogenesis of an epithelial tube [GO:0048754]; cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; lung development [GO:0030324]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; positive regulation of glycogen biosynthetic process [GO:0045725]; protein dephosphorylation [GO:0006470]; regulation of circadian rhythm [GO:0042752]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of glycogen catabolic process [GO:0005981]; regulation of translation [GO:0006417]; response to lead ion [GO:0010288]	adherens junction [GO:0005912]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; glycogen granule [GO:0042587]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793]; protein phosphatase type 1 complex [GO:0000164]; PTW/PP1 phosphatase complex [GO:0072357]
P08129	P62138	reviewed	PP1A_RAT	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	Ppp1ca Ppp1a	24668;	ENSRNOT00000025282.7;ENSRNOT00000098712.1;ENSRNOT00055032085;ENSRNOT00060057009;ENSRNOT00065057272;	cadherin binding involved in cell-cell adhesion [GO:0098641]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]; protein phosphatase 1 binding [GO:0008157]; protein serine/threonine phosphatase activity [GO:0004722]; protein-containing complex binding [GO:0044877]; ribonucleoprotein complex binding [GO:0043021]	branching morphogenesis of an epithelial tube [GO:0048754]; cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; dephosphorylation [GO:0016311]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; lung development [GO:0030324]; positive regulation of extrinsic apoptotic signaling pathway in absence of ligand [GO:2001241]; regulation of circadian rhythm [GO:0042752]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of glycogen catabolic process [GO:0005981]; response to lead ion [GO:0010288]	adherens junction [GO:0005912]; chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; dendritic spine [GO:0043197]; glutamatergic synapse [GO:0098978]; glycogen granule [GO:0042587]; neuronal cell body [GO:0043025]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perikaryon [GO:0043204]; plasma membrane [GO:0005886]; postsynapse [GO:0098794]; presynapse [GO:0098793]; protein phosphatase type 1 complex [GO:0000164]; PTW/PP1 phosphatase complex [GO:0072357]
P08129	P62139	reviewed	PP1A_RABIT	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit (PP-1A) (EC 3.1.3.16)	PPP1CA PPP1A	100009298;		fatty acid derivative binding [GO:1901567]; metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]; protein phosphatase activator activity [GO:0072542]; protein serine/threonine phosphatase activity [GO:0004722]	cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; peptidyl-serine dephosphorylation [GO:0070262]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; protein dephosphorylation [GO:0006470]; regulation of circadian rhythm [GO:0042752]; regulation of translational initiation by eIF2 alpha dephosphorylation [GO:0036496]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; protein phosphatase type 1 complex [GO:0000164]; PTW/PP1 phosphatase complex [GO:0072357]
P37140	P62140	reviewed	PP1B_HUMAN	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (PPP1CD) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	5500;	ENST00000296122.10;ENST00000395366.3;ENST00000420282.6;ENST00000441461.6;ENST00000703173.1;	metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; myosin-light-chain-phosphatase activity [GO:0050115]; phosphatase activity [GO:0016791]; protein kinase binding [GO:0019901]; protein serine/threonine phosphatase activity [GO:0004722]	cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; MAPK cascade [GO:0000165]; protein dephosphorylation [GO:0006470]; regulation of cell adhesion [GO:0030155]; regulation of circadian rhythm [GO:0042752]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; PTW/PP1 phosphatase complex [GO:0072357]
P37140	P62141	reviewed	PP1B_MOUSE	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (EC 3.1.3.16) (EC 3.1.3.53)	Ppp1cb	19046;	ENSMUST00000015100.15;ENSMUST00000201360.4;	metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; myosin-light-chain-phosphatase activity [GO:0050115]; phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]; protein kinase binding [GO:0019901]; protein serine/threonine phosphatase activity [GO:0004722]	cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; protein dephosphorylation [GO:0006470]; regulation of cell adhesion [GO:0030155]; regulation of circadian rhythm [GO:0042752]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of glycogen catabolic process [GO:0005981]	chromosome, telomeric region [GO:0000781]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycogen granule [GO:0042587]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein phosphatase type 1 complex [GO:0000164]; PTW/PP1 phosphatase complex [GO:0072357]
P37140	P62142	reviewed	PP1B_RAT	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (EC 3.1.3.16) (EC 3.1.3.53)	Ppp1cb	25594;	ENSRNOT00000006190.5;ENSRNOT00055034337;ENSRNOT00060022123;ENSRNOT00065036006;	metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; myosin-light-chain-phosphatase activity [GO:0050115]; phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]; protein kinase binding [GO:0019901]; protein serine/threonine phosphatase activity [GO:0004722]	cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; regulation of cell adhesion [GO:0030155]; regulation of circadian rhythm [GO:0042752]; regulation of glycogen biosynthetic process [GO:0005979]; regulation of glycogen catabolic process [GO:0005981]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; glycogen granule [GO:0042587]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein phosphatase type 1 complex [GO:0000164]; PTW/PP1 phosphatase complex [GO:0072357]
P37140	P62143	reviewed	PP1B_RABIT	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	100009587;		manganese ion binding [GO:0030145]; myosin phosphatase activity [GO:0017018]; myosin-light-chain-phosphatase activity [GO:0050115]; phosphatase activity [GO:0016791]; phosphoprotein phosphatase activity [GO:0004721]	cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; entrainment of circadian clock by photoperiod [GO:0043153]; glycogen metabolic process [GO:0005977]; protein dephosphorylation [GO:0006470]; regulation of cell adhesion [GO:0030155]; regulation of circadian rhythm [GO:0042752]	nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; PTW/PP1 phosphatase complex [GO:0072357]; skeletal muscle myofibril [GO:0098723]
P37140	P62207	reviewed	PP1B_CHICK	Serine/threonine-protein phosphatase PP1-beta catalytic subunit (PP-1B) (EC 3.1.3.16) (EC 3.1.3.53)	PPP1CB	396019;	ENSGALT00000144038;ENSGALT00010048228.1;ENSGALT00015038176;	metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; myosin-light-chain-phosphatase activity [GO:0050115]; protein serine/threonine phosphatase activity [GO:0004722]	cell division [GO:0051301]; circadian regulation of gene expression [GO:0032922]; glycogen metabolic process [GO:0005977]; regulation of cell adhesion [GO:0030155]; regulation of circadian rhythm [GO:0042752]	cytoplasm [GO:0005737]; nucleus [GO:0005634]; PTW/PP1 phosphatase complex [GO:0072357]
P09058	P62241	reviewed	RS8_HUMAN	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	RPS8 OK/SW-cl.83	6202;	ENST00000396651.8;	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]	cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit biogenesis [GO:0042274]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; small-subunit processome [GO:0032040]
P09058	P62242	reviewed	RS8_MOUSE	Small ribosomal subunit protein eS8 (40S ribosomal protein S8)	Rps8	20116;	ENSMUST00000102696.5;	structural constituent of ribosome [GO:0003735]	cytoplasmic translation [GO:0002181]; maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; ribosomal small subunit biogenesis [GO:0042274]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nucleolus [GO:0005730]; ribonucleoprotein complex [GO:1990904]; small-subunit processome [GO:0032040]
